Noneating,Eating
-0.000963759,-0.163443306
0.002299565,0.254160124
0.001066242,0.346864181
0.002240856,0.323282001
0.00306164,0.26319869
0.003291351,0.358106096
0.000104059,0.330011335
0.001880614,0.124583486
0.001548756,0.19520272
0.006497036,0.33650756
0.000106217,0.45844399
0.000906419,0.014932185
-0.003757626,-0.081158024
0.0043234,0.240756814
0.001691734,0.528814898
0.001415626,0.158282426
0.006990049,0.113741675
-0.002652723,0.280531892
-0.001770008,0.445741437
-0.004392875,-0.377970154
0.002136912,-0.296599883
0.012962633,0.441962004
0.003426515,0.514135999
4.84E-05,0.242429443
0.003636229,-0.077218913
-0.005055613,0.531635197
0.000952716,0.403039901
0.001647389,0.328754418
0.002610451,0.266044981
0.001363141,-0.066543693
0.001534082,-0.000460723
0.009670952,0.001975082
0.00126479,0.001875338
0.001259135,0.000740532
-0.00669595,0.000291999
0.001731081,0.000232808
-0.008889293,0.000268897
0.000188353,0.000146761
0.00463058,0.000168032
-0.000253109,7.04E-05
-0.003668322,0.000153636
-0.013437022,0.000195328
-0.018245998,0.000244277
-0.005568211,0.000234068
0.002915222,0.000240059
-0.003096782,0.000206
-0.002031573,0.000203884
0.003352476,0.00023959
0.010156323,0.000225031
-0.007007106,0.000200207
-0.030427453,0.000146745
-0.016322965,0.000192343
-0.006239886,0.00019341
-0.009259896,0.000157465
-0.032638675,0.000105624
-0.004091644,0.000106993
0.005882089,0.000106244
-0.000587376,0.000126907
-0.011477944,0.000123888
-0.012797655,0.000140868
-0.025794663,0.000111729
-0.023594654,8.74E-05
-0.002206264,8.11E-05
-0.003024983,9.30E-05
-0.02032906,7.09E-05
0.011644902,7.23E-05
-0.007506834,6.56E-05
-0.022551707,8.36E-05
-0.007510319,8.41E-05
-0.000190539,-0.013494894
-0.00987171,-0.006119807
-0.003670702,-0.005836292
-0.01190102,-0.000927129
-0.012174914,-0.00024064
0.002753329,0.000742721
-0.014425637,0.000134572
-0.001091684,0.000329602
-0.00752493,0.000160024
-0.034893925,0.000329578
-0.014636013,0.000541873
-0.001171423,0.000563205
-0.015626359,0.000491844
-0.022490983,0.000534403
0.001847883,0.0006052
-0.008397562,0.000755987
-0.036875947,0.00080134
-0.038694521,0.000760064
-0.008814191,0.000697491
-0.020491262,0.000707629
-0.01840333,0.000629689
-0.041872962,0.000605144
-0.003309871,0.000575076
-0.001672942,0.000506688
-0.000315875,0.000534451
-5.96E-06,0.000511423
-0.003415105,0.000471228
-0.026128623,0.00043371
-0.019256248,0.000369366
0.002388669,0.000321057
-0.013875713,0.000335971
-0.020808509,0.000326234
0.000824811,0.000305263
-0.02638253,0.000262464
-0.025099647,0.000263219
-0.051069732,0.000248147
-0.023418314,0.00022959
-0.072602565,0.000218954
-0.050863576,0.000258
-0.030793125,0.000249236
-0.022619125,-0.315424586
-0.066946527,0.214778478
-0.030938074,0.062603098
-0.007131397,0.161619083
-0.034836184,0.018461384
-0.012209995,-0.187829675
-0.009114264,-0.139050363
-0.016765079,-0.602515041
-0.042984106,0.173111636
-0.064498963,0.057677901
-0.095272699,-0.827634541
-0.039297795,-0.17986222
0.017648554,0.083093087
-0.056310798,-0.104217752
-0.125092662,-0.493830917
-0.009424652,0.062931645
-0.033218681,0.50144435
-0.082925959,-0.007064249
-0.035882993,0.232526373
-0.010335009,-0.23694507
-0.004912317,-0.246166316
-0.146733767,0.12749457
-0.090498849,0.015530371
-0.025594823,-0.178570387
-0.072705145,-0.043015229
-0.040794535,0.101113756
-0.033077575,0.086705137
-0.164042274,-0.163193971
-0.032932587,0.038380883
-0.027306849,0.635549188
-0.006389051,-0.009721538
-0.195553806,0.074381607
0.002121974,-0.516240158
-0.236411796,0.047683451
-0.014584227,0.150029236
-0.211357073,0.128504983
-0.038096972,0.051671814
-0.059801754,-0.083425595
-0.204336216,-0.028343688
-0.149830506,-0.108143314
-0.007886883,-0.388481061
-0.129280069,0.19491677
-0.174046676,0.6474871
-0.090901424,-0.070031031
-0.032269243,0.40995618
-0.141169049,0.25339133
-0.156622816,0.227666799
-0.112577301,-0.024920795
-0.269184031,-0.166889137
0.093016914,0.416777552
0.074231302,0.328891581
0.052827988,0.424464178
0.119768144,0.226593912
0.147884701,0.396782181
0.119317277,-0.163012691
