isEating, maxMin, dwt, slope, fourier, median
1,0.017,-16.39639204,-0.163012691,2665,-6
1,0.069,1.856155301,0.677475023,445,-6.25
1,0.098,-31.99658185,0.123772232,851,-21.281
1,0.048,-18.82671805,-0.11229222,3030,-6.125
1,0.032,-12.33052805,-0.206021127,2591,-9.688
1,0.079,-7.026520085,0.318239623,795,-12.875
1,0.067,-4.242640687,-0.177231862,544,5.1565
1,0.072,-19.22481917,0.138899848,1075,-2.438
1,0.015,-23.02481101,0.397733135,2760,-5.625
1,0.032,-3.933635024,0.281934003,414,-6.375
1,0.063,-12.19759198,0.247023985,1009,-12.5
1,0.105,-11.62342127,0.229944398,803,-8.375
1,0.033,-15.55634919,0.019998776,965,-10.625
1,0.05,-11.18147953,0.082073766,1409,0.938
1,0.092,-9.944042664,0.145069103,739,6.125
1,0.051,-25.14613135,0.131574472,4454,-5.281
1,0,0,0,0,0
1,0.038,-5.436236934,0.66918582,527,-1.812
1,0.036,-19.26865979,0.097401147,1141,-6.688
1,0.017,-17.36795676,0.26611084,1469,-2.062
1,0.037,-12.59498599,0.078051442,1278,-6.75
1,0.039,-30.80369271,0.062394289,1226,-3.844
1,0.017,-4.905906848,0.185928475,743,-2.281
1,0.037,-12.32982094,0.033821337,1159,-11.188
1,0.088,-21.08026736,0.250640837,2089,-8.562
1,0.047,-3.181980515,0.498253184,1351,-3.75
1,0.168,-21.16865571,0.725796327,43217,-21.625
1,0.194,-37.16765374,0.47437333,4180,-20.1565
1,0.04,-5.171071891,0.389351758,157009,5.625
1,0.158,-54.66783947,0.166345862,1745,-19.5625
1,0.152,-35.57595638,0.367374716,8911,-9.875
1,0.156,-52.90007251,0.447131909,20811,-14.25
1,0.175,-41.67475236,0.303505515,1429,-12.688
1,0.116,-62.84340807,0.167731894,1158,-9.531
1,0.135,-46.97876033,0.316037404,3243,-13.4685
1,0.133,-9.502100926,0.208481012,2460,-9.125
1,0.152,-21.65443807,0.361665395,1399,-16.094
1,0.149,-23.68807717,0.75467701,47519,-27.937
1,0.052,7.15945616,0.808169443,259,-6.062
1,0.108,0.088388348,0.96964738,8457,-15.75
1,0.149,-19.35634103,0.249885474,1055,-9.75
1,0.13,-35.31079133,0.618211493,69636,-11.6565
1,0.125,-54.44722215,0.028494264,27899,-6.5625
1,0.175,-24.21840726,0.213899793,4062,-8.031
1,0.129,-15.7769665,0.095785947,2176,-10.1875
1,0.087,-33.23401872,-0.033137211,4679,-6.5
1,0.146,-70.40096535,0.390765132,16525,-15.625
1,0.22,-34.29467889,0.064030603,2347,-5.75
1,0.144,-48.03871339,0.779079295,5198,-18.25
1,0.12,-20.4170012,0.011534278,7088,-2.625
1,0.141,-25.58807309,0.041039673,6878,-4.562
1,0.163,-37.96314887,0.582446243,17742,-17.687
1,0.13,-52.6794552,0.213946114,2713,-16.312
1,0.115,-37.78637217,0.044967937,1211,-9.4065
1,0.079,-18.47316466,-0.028375166,10743,-15.688
1,0.134,-15.42341311,0.335449596,28686,-11.562
1,0.241,-32.88046533,0.163081393,78149,-3.7815
1,0.167,-19.66676091,0.13341213,19054,-6.25
1,0.1,-26.60489264,0.150611898,89995,-7.812
1,0.118,-20.63903273,0.253679895,9687,-10.875
1,0.23,-60.14862413,0.228663686,79085,-9.75
1,0.033,-11.97626755,0.162041506,8650,-10.5
1,0.262,-52.90077962,0.203455506,19957,-8.125
1,0.078,-19.13572371,0.510132938,5529,-7.7185
1,0.101,-10.96015511,0.008877016,2520,-0.688
1,0.313,-52.06073676,0.178463883,41698,-12.6875
1,0.087,-22.36295906,-0.177705022,9367,-15.563
