TS,OW,OX,OY,OZ,AX,AY,AZ,GX,GY,GZ,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,
1.50353E+12,0.879564895,0.365904366,0.004057646,0.079621399,0.426738794,0.661245989,0.125129201,0.589662649,0.448983443,0.390686935,0.455616158,0.506452031,0.471880838,0.448928629,0.472611564,0.431775121,0.503872177,0.671163212,0
1.50353E+12,0.879564895,0.365904366,0.004057646,0.079621399,0.429537732,0.659416112,0.129562385,0.589232626,0.45045822,0.390758008,0.455715865,0.49890353,0.4808272,0.450673035,0.470678212,0.432495921,0.504522839,0.673829041,0
1.50353E+12,0.879564895,0.365904366,0.004057646,0.079621399,0.424738572,0.661839025,0.124702934,0.588729708,0.449419258,0.38949391,0.46468613,0.507085999,0.476817911,0.44725509,0.481208361,0.430160167,0.507511279,0.678025187,0
1.50353E+12,0.879564895,0.365904366,0.004057646,0.079621399,0.427070351,0.66113965,0.125657359,0.590546109,0.452456271,0.390191463,0.460528056,0.507772494,0.464989218,0.446978887,0.482850665,0.429557853,0.504522839,0.671390291,0
1.50353E+12,0.879564895,0.365904366,0.004057646,0.079621399,0.431004899,0.656563961,0.124872082,0.590464559,0.450551274,0.389471986,0.455411647,0.511343918,0.461856219,0.449356767,0.461989326,0.424623761,0.507489215,0.680373016,0
1.50353E+12,0.879564895,0.365904366,0.004057646,0.079621399,0.430822506,0.658726928,0.12325635,0.588767913,0.449313282,0.388641095,0.455750915,0.510592497,0.478642131,0.445187078,0.468335686,0.427559452,0.508938286,0.674084981,0
1.50353E+12,0.879564895,0.365904366,0.004057646,0.079621399,0.428926597,0.662854232,0.12474975,0.589333303,0.450756811,0.39038981,0.449130498,0.504003465,0.45119822,0.443055262,0.456987452,0.411177453,0.515272467,0.670799553,0
1.50353E+12,0.879564895,0.365904366,0.004057646,0.079621399,0.428587377,0.659921303,0.126369682,0.589411844,0.448844632,0.389959445,0.447718954,0.50510694,0.458948486,0.443370864,0.460387953,0.431734758,0.516603411,0.673248885,0
1.50353E+12,0.879564895,0.365904365,0.004057646,0.079621399,0.430099184,0.657973798,0.122427759,0.589302495,0.449372026,0.388808734,0.464034299,0.509524967,0.4657688,0.442525416,0.472070102,0.433720128,0.504980077,0.674986633,0
1.50353E+12,0.879564895,0.365904377,0.004057646,0.079621399,0.427688486,0.660537301,0.125068453,0.589494212,0.448863359,0.389127444,0.467771447,0.503661993,0.466852583,0.446534153,0.464288893,0.435484269,0.491567857,0.678485205,0
